Entity,Code_x,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),religious/spiritual activities,healthy lifestyle behaviors,work situation,personal relationships,Talked to friends or family,Took prescribed medication,in nature,mental health_professional,Have been anxious,Mental health units,Population,Continent,Code_y,GDP per capita
Cambodia,KHM,0.208266,0.509922,0.108379,3.289745,0.570337,3.094945,0.844038,,,,,,,,,6.9223046,0.00644,16207746.0,Asia,KHM,1671.3854
Cameroon,CMR,0.170796,0.628202,0.13379,2.908663,0.588021,3.745647,1.024227,63.568485,79.35599,66.97163,75.16382,86.43171,52.659348,76.7072,35.662895,36.33164,,25782341.0,Africa,CMR,1538.563063
Canada,CAN,0.315588,0.716413,0.477304,5.178218,2.276229,3.988792,1.617937,29.156185,83.78147,56.140034,60.003414,84.21834,72.9736,82.182236,77.61447,24.215265,0.40112,37618495.0,North America,CAN,46352.86934
Cape Verde,CPV,0.18988,0.710184,0.169252,2.998977,0.630609,4.082451,1.00767,,,,,,,,,,0.56294,,Africa,,
Caribbean,,0.193847,0.884517,0.25921,4.563041,0.733036,3.065059,1.662187,,,,,,,,,,,,,,
Central African Republic,CAF,0.149087,0.59303,0.089183,3.24999,0.516703,4.211728,1.407712,,,,,,,,,,0.022,5209324.0,Africa,CAF,426.4087531
Central Asia,,0.192411,0.672902,0.172627,2.57219,0.511943,2.96912,2.422853,,,,,,,,,,,,,,
Central Europe,,0.205371,0.713509,0.217305,3.415223,0.677043,2.438713,2.021229,,,,,,,,,,,,,,
"Central Europe, Eastern Europe, and Central Asia",,0.197898,0.686838,0.205557,2.983414,0.718708,3.243674,3.500378,,,,,,,,,,,,,,
Central Latin America,,0.207671,0.795331,0.286315,2.96043,0.822284,2.697779,1.762195,,,,,,,,,,,,,,
Central Sub-Saharan Africa,,0.161344,0.621204,0.117588,3.263217,0.521061,4.017925,1.360875,,,,,,,,,,,,,,
Chad,TCD,0.168019,0.626775,0.122129,2.887049,0.4574,3.874837,0.943401,,,,,,,,,,0.00714,16126866.0,Africa,TCD,701.621201
Chile,CHL,0.20143,0.790591,0.416123,6.272084,1.25715,4.057723,2.44947,29.442854,76.449104,41.274147,74.81275,84.13164,61.50862,73.08272,66.788216,37.285408,0.17452,19039485.0,South America,CHL,14616.20725
China,CHN,0.338174,0.321906,0.159588,3.030969,1.113943,3.311306,1.220903,18.761171,69.90329,42.258675,51.827423,63.353428,32.706,66.57247,34.952682,8.565871,,1407745000.0,Asia,CHN,10143.86022
Colombia,COL,0.207211,0.768913,0.260257,2.514803,1.075526,2.196154,1.758512,59.967686,74.10246,60.171284,78.51473,85.64458,40.58397,82.57514,33.10809,30.246721,0.22186,50187406.0,South America,COL,6436.509215
Comoros,COM,0.170252,0.659469,0.110911,3.649877,0.505443,3.330114,1.509998,,,,,,,,,,0.12863,790986.0,Africa,COM,1510.797324
Congo,COG,0.16976,0.614345,0.161675,3.270745,0.560306,4.008291,1.44879,72.28799,72.747696,52.24882,64.94808,79.193275,48.305004,63.72878,35.24628,25.648352,0.04003,,Africa,,
Costa Rica,CRI,0.21389,0.843753,0.289342,2.936829,0.778956,2.904788,1.472594,55.38973,77.87039,54.79042,72.49933,75.73848,42.244644,80.45617,43.858498,33.137573,0.0416,5084532.0,North America,CRI,12669.34115
Cote d'Ivoire,CIV,0.170171,0.620477,0.136217,2.879312,0.503957,3.337989,1.009974,60.910683,61.929512,36.468803,53.974735,81.8161,45.18166,57.989788,18.839119,33.266792,0.01298,26147551.0,,CIV,2309.313583
Croatia,HRV,0.207565,0.720556,0.217975,3.447606,0.713971,2.779842,2.080532,27.312744,74.327934,33.21104,65.00948,87.80805,70.84487,81.677895,64.088554,11.787031,0.51936,4065253.0,Europe,HRV,15218.5258
Cuba,CUB,0.204501,0.943329,0.263159,4.623594,0.778,3.319131,1.734783,,,,,,,,,,0.14832,11316697.0,North America,CUB,9139.38051
Cyprus,CYP,0.252272,0.937285,0.506721,5.304908,0.580208,3.328111,1.110354,44.293118,69.99197,38.226036,50.989826,78.24367,28.826624,73.2286,56.159966,25.765331,0.17227,1228836.0,Europe,CYP,29419.99219
Czech Republic,CZE,0.209989,0.72157,0.242373,3.443601,0.978265,2.675387,2.097172,,,,,,,,,,,,,,
Democratic Republic of the Congo,COD,0.156883,0.622141,0.092542,3.25157,0.517094,3.956872,1.341113,,,,,,,,,,,,,,
Denmark,DNK,0.254017,1.005494,0.540025,5.314635,0.895411,3.291885,1.730723,16.050905,57.74685,48.82349,45.717518,76.89948,52.795513,78.06546,75.282425,18.341892,,5814422.0,Europe,DNK,59592.98069
Djibouti,DJI,0.175444,0.657575,0.13666,3.57065,0.52675,3.60901,1.592237,,,,,,,,,,,1073994.0,Africa,DJI,2876.043664
Dominica,DMA,0.199904,0.888732,0.277127,4.544904,0.89565,2.629649,2.100689,,,,,,,,,,,71428.0,North America,DMA,8561.587011
Dominican Republic,DOM,0.199462,0.891063,0.303058,4.558309,0.680033,2.978523,1.576405,69.43944,76.3712,69.91374,77.95735,89.972916,39.4342,80.90873,38.403286,38.433903,0.07598,10881882.0,North America,DOM,8173.344699
East Asia,,0.33518,0.32246,0.159511,3.041394,1.107724,3.302017,1.237431,,,,,,,,,,,,,,
Eastern Europe,,0.19657,0.680442,0.217029,2.94349,0.852237,3.802439,4.72986,,,,,,,,,,,,,,
Eastern Sub-Saharan Africa,,0.163459,0.623965,0.116033,3.645706,0.510433,3.824305,1.612554,,,,,,,,,,,,,,
Ecuador,ECU,0.202912,0.882945,0.363733,4.305357,0.668946,2.977117,1.706748,60.168716,88.759445,72.82648,85.87918,87.61079,51.58834,83.09851,54.595337,42.695652,0.17344,17343740.0,South America,ECU,6203.727051
Egypt,EGY,0.188117,0.775826,0.192942,4.361023,1.474476,3.238182,0.664616,50.724014,44.86046,25.952017,53.46195,72.08198,15.95659,47.67112,7.1438456,21.870832,,,Africa,,
El Salvador,SLV,0.197831,0.770585,0.243873,2.94522,0.61886,3.025887,2.65543,73.4358,80.8065,74.29682,77.660355,83.997345,63.724495,83.39334,46.754635,38.13536,0.25347,6280217.0,North America,SLV,4280.288404
England,,0.266007,1.107006,0.552932,4.53493,1.660924,4.119392,1.79212,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,0.185334,0.62335,0.277337,3.278991,0.563293,4.16709,1.480769,,,,,,,,,,,1553031.0,Africa,GNQ,7317.390026
Eritrea,ERI,0.158711,0.617569,0.102503,3.665668,0.524821,3.867377,1.732617,,,,,,,,,,0.20631,3498818.0,Africa,ERI,
Estonia,EST,0.203978,0.708241,0.250271,2.962244,1.126665,3.848854,4.713617,13.352501,62.430256,43.577805,51.76033,74.37608,61.259014,79.68081,59.754574,18.549173,0.684,1326898.0,Europe,EST,23581.65684
Ethiopia,ETH,0.164823,0.627391,0.109817,3.731997,0.498949,3.816266,1.863893,66.57121,62.9166,57.021492,74.69701,72.80364,28.758259,51.51885,25.622267,12.970515,0.05207,114120594.0,Africa,ETH,840.4496013
Fiji,FJI,0.238572,0.452605,0.147253,3.282447,0.757352,3.171898,1.107545,,,,,,,,,,0.33627,918465.0,Oceania,FJI,5927.72419
Finland,FIN,0.257444,1.005826,0.594938,3.752062,0.951914,4.792736,2.605061,11.135731,69.24617,48.76859,49.452408,85.083595,62.72813,78.077644,83.76853,17.503534,0.74791,5521606.0,Europe,FIN,48629.85823
France,FRA,0.256238,0.958199,0.573755,6.62671,1.179268,4.253807,1.418958,17.190386,57.659435,46.33427,54.21385,71.624275,74.54138,75.21356,64.341225,26.823336,,67388001.0,Europe,FRA,40494.89829
Gabon,GAB,0.181546,0.638333,0.226577,3.299512,0.571614,4.049029,1.466265,70.82588,79.61103,40.49048,63.391388,82.5198,44.71403,54.090183,22.027765,24.393341,,2242785.0,Africa,GAB,7523.862278
Gambia,GMB,0.169677,0.646285,0.113298,2.913376,0.501447,4.158517,0.943238,,,,,,,,,,,,Africa,,
Georgia,GEO,0.196776,0.709099,0.17164,2.602456,0.494333,2.797379,2.083073,44.799385,68.189186,45.724995,53.831985,85.06311,56.773544,77.76093,26.66816,32.572884,0.07592,3720161.0,Europe,GEO,4741.283272
Germany,DEU,0.252269,0.776762,0.522066,6.540496,0.883827,3.959866,1.806475,12.392033,82.49715,48.04778,55.287243,87.444565,63.503086,81.20086,72.77237,19.286057,0.49077,83092962.0,Europe,DEU,46805.13843
Ghana,GHA,0.175606,0.643099,0.147452,2.936416,0.625915,3.396647,1.008257,57.636757,60.869633,42.700703,56.74458,67.62067,26.98448,50.234814,17.928251,18.093695,1.09488,31522290.0,Africa,GHA,2167.925276
Greece,GRC,0.252701,0.948926,0.559324,5.790228,0.552602,4.185864,1.124257,27.453985,67.76728,45.388798,50.92366,77.88381,41.507545,59.645454,49.91992,33.81431,0.32983,10721582.0,Europe,GRC,19143.88762
Greenland,GRL,0.32225,0.595421,0.539069,5.722163,1.994755,6.233635,3.086688,,,,,,,,,,,56225.0,,GRL,53309.20359
Grenada,GRD,0.199822,0.893647,0.288174,4.530095,0.774008,2.770066,1.745439,,,,,,,,,,0.93613,122724.0,North America,GRD,9887.920742
Guam,GUM,0.261254,0.478223,0.253393,3.308606,0.80633,3.492856,1.276184,,,,,,,,,,,168624.0,,GUM,37687.39918
Guatemala,GTM,0.193344,0.743332,0.23211,2.906947,0.678176,3.216025,2.642026,,,,,,,,,,0.00615,16604026.0,North America,GTM,4647.807541
Guinea,GIN,0.166393,0.629857,0.112388,2.901304,0.456326,3.560933,0.946133,55.93042,61.00395,55.534122,57.176514,79.842705,65.84057,63.37154,52.08458,18.56735,0.00827,12877539.0,Africa,GIN,1043.899886
Guinea-Bissau,GNB,0.163117,0.614791,0.110999,2.915177,0.482693,3.66543,0.979754,,,,,,,,,,,1970457.0,Africa,GNB,754.3816394
Guyana,GUY,0.186468,0.846088,0.237636,4.547027,0.732391,4.141724,2.064557,,,,,,,,,,0.13012,798753.0,South America,GUY,6477.296726
Haiti,HTI,0.172298,0.801382,0.16079,4.518425,0.64397,2.957782,1.649577,,,,,,,,,,0.00934,11160438.0,North America,HTI,1345.475055
High SDI,,0.294427,0.749471,0.492632,5.313508,1.842886,3.942007,1.58634,,,,,,,,,,,,,,
High-income,,0.28782,0.791747,0.528244,5.677996,1.893491,4.116486,1.575279,,,,,,,,,,,,,,
High-income Asia Pacific,,0.284882,0.651939,0.446689,3.636742,0.916817,3.27099,1.050259,,,,,,,,,,,,,,
